Timeframe,Week of, 2019 counts (31 counters), 2020 counts (31 counters),2021 Counts,Change 2019-2020,,,
Week 1,12/30/19,167679,183546,,0.09,,,
Week 2,1/6/20,82340,97140,,0.18,,,
Week 3,1/13/20,62315,75782,,0.22,,,
Week 4,1/20/20,75801,83809,,0.11,,,
Week 5,1/27/20,75841,94738,,0.25,,,
Week 6,2/3/20,79780,153555,,0.92,,,
Week 7,2/10/20,65732,130351,,0.98,,,
Week 8,2/17/20,69492,149876,,1.16,,,
Week 9,2/24/20,85688,141250,,0.65,,,
Week 10,3/2/20,84512,167528,,0.98,,,
Week 11,3/9/20,107995,210182,,0.95,,,
Week 12,3/16/20,125440,367795,,1.93,,,
Week 13,3/23/20,136330,372783,,1.73,,,
Week 14,3/30/20,118784,280728,,1.36,,,
Week 15,4/6/20,132033,419160,,2.17,,,
Week 16,4/13/20,133267,241810,,0.81,,,
Week 17,4/20/20,165777,231184,,0.39,,,
Week 18,4/27/20,166356,276982,,0.66,,,
Week 19,5/4/20,171049,244058,,0.43,,,
Week 20,5/11/20,178534,281348,,0.58,,,
Week 21,5/18/20,191319,255226,,0.33,,,
Week 22,5/25/20,240507,299567,,0.25,,,
Week 23,6/1/20,211380,278800,,0.32,,,
Week 24,6/8/20,214729,296335,,0.38,,,
Week 25,6/15/20,202847,255112,,0.26,,,
Week 26,6/22/20,202445,256615,,0.27,,,
Week 27,6/29/20,184658,236287,,0.28,,,
Week 28,7/6/20,185302,244342,,0.32,,,
Week 29,7/13/20,166125,250590,,0.51,,,
Week 30,7/20/20,208809,223757,,0.07,,,
Week 31,7/27/20,197005,238673,,0.21,,,
Week 32,8/3/20,180605,239827,,0.33,,,
Week 33,8/10/20,191450,219279,,0.15,,,
Week 34,8/17/20,168754,241007,,0.43,,,
Week 35,8/24/20,176624,273677,,0.55,,,
Week 36,8/31/20,184806,227918,,0.23,,,
Week 37,9/7/20,157345,207670,,0.32,,,
Week 38,9/14/20,152527,207320,,0.36,,,
Week 39,9/21/20,141072,207918,,0.47,,,
Week 40,9/28/20,135881,186004,,0.37,,,
Week 41,10/5/20,132239,182924,,0.38,,,
Week 42,10/12/20,110816,159246,,0.44,,,
Week 43,10/19/20,110761,141404,,0.28,,,
Week 44,10/26/20,109795,147907,,0.35,,,
Week 45,11/2/20,109766,154502,,0.41,,,
Week 46,11/9/20,86824,155805,,0.79,,,
Week 47,11/16/20,88122,97835,,0.11,,,
Week 48,11/23/20,72380,101036,,0.4,,,
Week 49,11/30/20,81871,84123,,0.03,,,
Week 50,12/7/20,68364,92126,,0.35,,,
Week 51,12/14/20,58063,73188,,0.26,,,
Week 52,12/21/20,71890,69962,,-0.03,,,